datetime,WIKI/AAPL,WIKI/GOOG,WIKI/MSFT,cash,commission,total,returns,equity_curve,drawdown
2017-05-25,15387.0,96954.0,6962.0,3997.0,0.0,123300.0,0.0131137842635,1.233,0.0
2017-05-26,15361.0,97147.0,6997.0,3997.0,0.0,123502.0,0.00163828061638,1.23502,0.0
2017-05-30,15367.0,97588.0,7041.0,3997.0,0.0,123993.0,0.00397564411912,1.23993,0.0
2017-05-31,15276.0,96486.0,6984.0,3997.0,0.0,122743.0,-0.0100812142621,1.22743,0.0125
2017-06-01,15318.0,96695.0,7010.0,3997.0,0.0,123020.0,0.00225674783898,1.2302,0.00973
2017-06-02,15545.0,97560.0,7176.0,3997.0,0.0,124278.0,0.0102259795155,1.24278,0.0
2017-06-05,15393.0,98368.0,7228.0,3997.0,0.0,124986.0,0.00569690532516,1.24986,0.0
2017-06-06,15445.0,97657.0,7252.0,3997.0,0.0,124351.0,-0.00508056902373,1.24351,0.00635
2017-06-07,15537.0,98108.0,7239.0,3997.0,0.0,124881.0,0.00426212897363,1.24881,0.00105
2017-06-08,15499.0,98341.0,7194.5,3997.0,0.0,125031.5,0.00120514730023,1.250315,0.0
2017-06-09,14898.0,94983.0,7032.0,3997.0,0.0,120910.0,-0.0329636931493,1.2091,0.041215
2017-06-12,14532.0,94290.0,6978.0,3997.0,0.0,119797.0,-0.00920519394591,1.19797,0.052345
2017-06-13,14659.0,95340.0,7065.0,3997.0,0.0,121061.0,0.0105511824169,1.21061,0.039705
2017-06-14,14516.0,95076.0,7027.0,3997.0,0.0,120616.0,-0.0036758328446,1.20616,0.044155
2017-06-15,14429.0,94231.0,6990.0,3997.0,0.0,119647.0,-0.00803376003184,1.19647,0.053845
2017-06-16,14227.0,93978.0,7000.0,3997.0,0.0,119202.0,-0.00371927419827,1.19202,0.058295
2017-06-19,14634.0,95737.0,7087.0,3997.0,0.0,121455.0,0.0189006895857,1.21455,0.035765
2017-06-20,14501.0,95063.0,6991.0,3997.0,0.0,120552.0,-0.00743485241447,1.20552,0.044795
2017-06-21,14587.0,95945.0,7027.0,3997.0,0.0,121556.0,0.00832835622802,1.21556,0.034755
2017-06-22,14563.0,95709.0,7026.0,3997.0,0.0,121295.0,-0.0021471585113,1.21295,0.037365
2017-06-23,14635.0,96559.0,7121.0,3997.0,0.0,122312.0,0.00838451708644,1.22312,0.027195
2017-06-26,14582.0,95227.0,7053.0,3997.0,0.0,120859.0,-0.0118794558179,1.20859,0.041725
2017-06-27,14374.0,92733.0,6921.0,3997.0,0.0,118025.0,-0.0234488122523,1.18025,0.070065
2017-06-28,14583.0,94049.0,6980.0,3997.0,0.0,119609.0,0.0134208854056,1.19609,0.054225
2017-06-29,14368.0,91779.0,6849.0,3997.0,0.0,116993.0,-0.0218712638681,1.16993,0.080385
2017-06-30,14402.0,90873.0,6893.0,3997.0,0.0,116165.0,-0.00707734650791,1.16165,0.088665
2017-07-03,14350.0,89870.0,6817.0,3997.0,0.0,115034.0,-0.00973615116429,1.15034,0.099975
2017-07-05,14409.0,91194.0,6908.0,3997.0,0.0,116508.0,0.0128136029348,1.16508,0.085235
2017-07-06,14273.0,90669.0,6857.0,3997.0,0.0,115796.0,-0.00611116833179,1.15796,0.092355
2017-07-07,14418.0,91859.0,6946.0,3997.0,0.0,117220.0,0.012297488687,1.1722,0.078115
2017-07-10,14506.0,92880.0,6998.0,3997.0,0.0,118381.0,0.00990445316499,1.18381,0.066505
2017-07-11,14553.0,93009.0,6999.0,3997.0,0.0,118558.0,0.00149517236719,1.18558,0.064735
2017-07-12,14574.0,94383.0,7115.0,3997.0,0.0,120069.0,0.0127448168829,1.20069,0.049625
2017-07-13,14777.0,94716.0,7177.0,3997.0,0.0,120667.0,0.00498046956333,1.20667,0.043645
2017-07-14,14904.0,95599.0,7278.0,3997.0,0.0,121778.0,0.00920715688631,1.21778,0.032535
2017-07-17,14956.0,95342.0,7335.0,3997.0,0.0,121630.0,-0.0012153262494,1.2163,0.034015
2017-07-18,15008.0,96540.0,7330.0,3997.0,0.0,122875.0,0.0102359615227,1.22875,0.021565
2017-07-19,15102.0,97089.0,7386.0,3997.0,0.0,123574.0,0.00568870803662,1.23574,0.014575
2017-07-20,15034.0,96815.0,7424.0,3997.0,0.0,123270.0,-0.00246006441484,1.2327,0.017615
2017-07-21,15027.0,97292.0,7379.0,3997.0,0.0,123695.0,0.00344771639491,1.23695,0.013365
2017-07-24,15209.0,98034.0,7360.0,3997.0,0.0,124600.0,0.00731638303893,1.246,0.004315
2017-07-25,15274.0,95070.0,7419.0,3997.0,0.0,121760.0,-0.0227929373997,1.2176,0.032715
2017-07-26,15346.0,94780.0,7405.0,3997.0,0.0,121528.0,-0.00190538764783,1.21528,0.035035
2017-07-27,15056.0,93409.0,7316.0,3997.0,0.0,119778.0,-0.0143999736686,1.19778,0.052535
2017-07-28,14950.0,94153.0,7304.0,3997.0,0.0,120404.0,0.00522633538713,1.20404,0.046275
2017-07-31,14885.0,93050.0,7272.0,3997.0,0.0,119204.0,-0.00996644629747,1.19204,0.058275
2017-08-01,15005.0,93083.0,7258.0,3997.0,0.0,119343.0,0.00116606825274,1.19343,0.056885
2017-08-02,15714.0,93039.0,7226.0,3997.0,0.0,119976.0,0.0053040396169,1.19976,0.050555
2017-08-03,15557.0,92365.0,7215.0,3997.0,0.0,119134.0,-0.00701807028072,1.19134,0.058975
2017-08-04,15639.0,92796.0,7268.0,3997.0,0.0,119700.0,0.00475095270871,1.197,0.053315
2017-08-07,16008.0,92936.0,7240.0,3997.0,0.0,120181.0,0.00401837928154,1.20181,0.048505
2017-08-08,16106.0,92679.0,7279.0,3997.0,0.0,120061.0,-0.00099849393831,1.20061,0.049705
2017-08-09,15527.0,92290.0,7247.0,3997.0,0.0,119061.0,-0.00832909937448,1.19061,0.059705
2017-08-10,15748.0,90724.0,7141.0,3997.0,0.0,117610.0,-0.0121870301778,1.1761,0.074215
2017-08-11,15985.0,91439.0,7250.0,3997.0,0.0,118671.0,0.00902134172264,1.18671,0.063605
2017-08-14,16160.0,92267.0,7359.0,3997.0,0.0,119783.0,0.00937044433771,1.19783,0.052485
2017-08-15,16095.0,92222.0,7322.0,3997.0,0.0,119636.0,-0.00122721922143,1.19636,0.053955
2017-08-16,15787.0,92696.0,7365.0,3997.0,0.0,119845.0,0.00174696579625,1.19845,0.051865
2017-08-17,15750.0,91098.0,7240.0,3997.0,0.0,118085.0,-0.0146856356127,1.18085,0.069465
2017-08-18,15721.0,91067.0,7249.0,3997.0,0.0,118034.0,-0.000431892280984,1.18034,0.069975
2017-08-21,15978.0,90666.0,7215.0,3997.0,0.0,117856.0,-0.00150804005625,1.17856,0.071755
2017-08-22,15998.0,92469.0,7316.0,3997.0,0.0,119780.0,0.0163250067879,1.1978,0.052515
2017-08-23,15927.0,92700.0,7272.0,3997.0,0.0,119896.0,0.00096844214393,1.19896,0.051355
2017-08-24,15986.0,92128.0,7269.0,3997.0,0.0,119380.0,-0.00430372989925,1.1938,0.056515
2017-08-25,16147.0,91589.0,7282.0,3997.0,0.0,119015.0,-0.00305746356174,1.19015,0.060165
2017-08-28,16291.0,91381.0,7283.0,3997.0,0.0,118952.0,-0.000529345040541,1.18952,0.060795
2017-08-29,16335.0,92129.0,7305.0,3997.0,0.0,119766.0,0.00684309637501,1.19766,0.052655
2017-08-30,16400.0,92957.0,7401.0,3997.0,0.0,120755.0,0.00825776931683,1.20755,0.042765
2017-08-31,16405.0,93933.0,7477.0,3997.0,0.0,121812.0,0.00875326073455,1.21812,0.032195
2017-09-01,16208.0,93734.0,7394.0,3997.0,0.0,121333.0,-0.00393228910124,1.21333,0.036985
2017-09-05,16191.0,92845.0,7361.0,3997.0,0.0,120394.0,-0.00773903225009,1.20394,0.046375
2017-09-06,16126.0,92781.0,7340.0,3997.0,0.0,120244.0,-0.00124590926458,1.20244,0.047875
